Day,Date,Venue,Time,Performers
Mon,Sept 1,Wild Buffalo,08:15,The Murder City Devils
Tues,Sept 2,Aslan Depot,20:00,Jazz Night
Weds,Sept 3,Honeymoon,08:30,Open mic
Thurs,Sept 4,Boundary Bay,17:00,Louis Ledford • Norah McLaughlin
Fri,Sept 5,Boundary Bay,18:00,The Legendary Chucklenuts
Sat,Sept 6,The Shakedown,21:00,Earth
Sat,Sept 6,Makeshift,20:00,Trestles • Slowfall
Sun,Sept 7,Boundary Bay,18:00,Jazz In the Taproom
Mon,Sept 8,,,
Tues,Sept 9,Aslan Depot,20:00,Jazz Night
Weds,Sept 10,Honeymoon,20:30,Open mic
Weds,Sept 10,Wild Buffalo,20:00,Mudhoney
Thurs,Sept 11,,,
Fri,Sept 12,The Shakedown,21:00,Melancholia • Sorcia • Wet Temple
Fri,Sept 12,Boundary Bay,18:00,Cardova
Fri,Sept 12,Wild Buffalo,20:00,Gary Numan
Fri,Sept 12,Aslan Depot,20:00,Brushhopper
Sat,Sept 13,,,
Sun,Sept 14,,,
Mon,Sept 15,,,
Tues,Sept 16,Aslan Depot,20:00,Jazz Night
Weds,Sept 17,Honeymoon,20:30,Open mic
Weds,Sept 17,The Shakedown,21:00,Sonido Gallo Negro
Weds,Sept 17,Wild Buffalo,20:30,Moon Hooch • Evan Hatfield
Thurs,Sept 18,Wild Buffalo,20:30,Dr. Fresch • Ticky • Fulminate • Traylz
Thurs,Sept 18,Boundary Bay,17:00,Robert Sarazin Blake • The Dublin Letters
Thurs,Sept 18,Boundary Bay,20:00,Von Wildenhaus • Devin’s Diamond Club
Fri,Sept 19,Wild Buffalo,21:00,Brass Against
Fri,Sept 19,Boundary Bay,06:00,Cosmic Sauce
Sat,Sept 20,The Shakedown,21:00,Anciients • Armed for Apocalypse • Nott • Inpathos
Sun,Sept 21,Wild Buffalo,20:30,The Wailers
Mon,Sept 22,The Shakedown,21:00,Tim Kliphuis & Jimmy Grant • Pace Trumpet
Tues,Sept 23,Aslan Depot,20:00,Jazz Night
Weds,Sept 24,Honeymoon,08:30,Open mic
Thurs,Sept 25,The Shakedown,21:00,Eight Bells
Thurs,Sept 25,Wild Buffalo,20:00,Tophouse • Crowe Boys
Thurs,Sept 25,Boundary Bay,17:00,Robert Sarazin Blake
Fri,Sept 26,Aslan Depot,20:00,The Fifth
Sat,Sept 27,Wild Buffalo,21:00,Phantoms
Sat,Sept 27,Makeshift,20:00,Vaulderie • Ages of Nephilim • Hellslaught • Oath ov Hatred
Sun,Sept 28,Wild Buffalo,20:30,Fortunate Youth
Mon,Sept 29,,,
Tues,Sept 30,Aslan Depot,20:00,Jazz Night
